"X..ve.word.count.","X..ve.word.count..1","X.overall.polarity.","X.times.change.in.pol.","X.largest...cont.","X.largest...cont..1","X.capital.letters.","X.punctuation.","emoji_count","laughter_exp_count"
1,0,1,0,1,0,2,0,10,0
0,0,0,0,0,0,4,0,5,0
0,0,0,0,0,0,10,0,29,0
1,0,2,0,1,0,8,2,19,0
1,0,2,0,1,0,4,0,14,0
0,0,0,0,0,0,4,0,17,0
0,0,0,0,0,0,11,0,20,0
0,0,0,0,0,0,11,0,21,0
0,0,0,0,0,0,7,0,24,0
1,0,1,0,1,0,5,0,20,0
0,0,0,0,0,0,6,0,25,0
0,1,-1,0,0,1,2,0,22,0
1,0,1,0,1,0,1,0,7,0
0,0,0,0,0,0,11,1,20,0
3,0,4,0,3,0,9,0,17,0
0,0,0,0,0,0,5,0,18,0
0,0,0,0,0,0,8,0,24,0
0,0,0,0,0,0,7,0,18,0
0,0,0,0,0,0,1,0,12,0
0,0,0,0,0,0,1,0,16,0
0,0,0,0,0,0,17,0,28,0
2,0,3,0,2,0,3,0,10,0
1,1,0,1,1,1,6,0,26,0
0,0,0,0,0,0,7,1,20,0
